,artist,lyrics,song,weeks
0,Macklemore & Ryan Lewis Featuring Wanz," [Intro] ""Hey, Macklemore, can we go thrift shopping?"" What what, what, what [x8] Bada, bada, bada dada [Hook: Wanz] I'm gonna pop some tags Only got 20 dollars in my pocket I'm, I'm, I'm hunting Looking for a come up This is fucking awesome [Verse 1: Macklemore] Now, walk into the club, like, ""What up, I got a big cock!"" Nah, I’m just pumped, I bought some shit from a thrift shop Ice on the fringe is so damn frosty The people like, “Damn, that’s a cold ass honkey!” Rolling in hella deep, headed to the mezzanine Dressed in all pink; except my gator shoes, those are green Draped in a leopard mink, girl standing next to me Probably should've washed this, smells like R. Kelly sheets (Pissssss...) But shit, it was 99 cents! Fuck it, coppin' it, washin' it ‘Bout to go and get some compliments Passing up on those moccasins Someone else has been walking in Bummy and grungy, fuck it, man I am stunting and flossing and saving my money And I’m hella happy; that’s a bargain, bitch! I’ma take your grandpa's style, I’ma take your grandpa's style No, for real, ask your grandpa Can I have his hand-me-downs? (Thank you!) Velour jumpsuit and some house slippers Dookie brown leather jacket that I found diggin' They had a broken keyboard, I bought a broken keyboard I bought a skeet blanket, then I bought a knee board Hello, hello, my ace man, my mellow John Wayne ain’t got nothing on my fringe game, hell no I could take some Pro Wings, make them cool, sell those The sneaker heads would be like, “Ah, he got the Velcros.” [Hook: Wanz] I'm gonna pop some tags Only got 20 dollars in my pocket I'm, I'm, I'm hunting Looking for a come up This is fucking awesome [Verse 2: Macklemore] What you know about rocking a wolf on your noggin? What you knowing about wearing a fur fox skin? I’m digging, I’m digging I’m searching right through that luggage One man’s trash, that’s another man’s come up Thank your granddad for donating that plaid button- Up shirt, ‘cause right now, I’m up in here stuntin' I’m at the Goodwill, you can find me in the bins I’m not, I’m not stuck on searchin' in that section (Mens) Your grammy, your aunty, your momma, your mammy I’ll take those flannel zebra jammies Second hand and I’ll rock that, motherfucker The built-in onesie with the socks on the motherfucker I hit the party and they stop in that motherfucker They be like, “Oh, that Gucci? That’s hella tight” I’m like, “Yo, that’s 50 dollars for a t-shirt.” Limited edition, let’s do some simple addition 50 dollars for a t-shirt, that’s just some ignorant bitch shit I call that getting swindled and pimped, shit I call that getting tricked by business That shirt’s hella dough, and having the same one as six other people in this club is a hella don’t Peep game, come take a look through my telescope Tryin' to get girls from a brand? Man, you hella won’t! Man, you hella won't! [Interlude] Goodwill, poppin' tags, yeah! [Hook: Wanz] I'm gonna pop some tags Only got 20 dollars in my pocket I'm, I'm, I'm hunting Looking for a come up This is fucking awesome [Bridge: Wanz] I wear your granddad's clothes I look incredible I’m in this big ass coat From that thrift shop down the road [Hook: Wanz] I'm gonna pop some tags Only got 20 dollars in my pocket I'm, I'm, I'm hunting Looking for a come up This is fucking awesome [Outro] ""Is that your grandma's coat?"" ",Thrift Shop,54
1,Waka Flocka Flame Featuring Roscoe Dash & Wale," [Chorus: Roscoe Dash] Girl, the way you're moving got me in a trance DJ, turn me up Ladies, this your jam I'ma sip Moscato and you gon' lose them pants Then I'ma throw this money while you do it with no hands Girl, drop it to the floor, I love the way your booty go All I wanna do is sit back and watch you move and I'll proceed to throw this cash [Verse 1: Waka Flocka Flame] All that ass in your jeans Can Wale beat? Can Roscoe skeet? Long hair, she don't care When she walk, she gets stares Brown-skin or a yellow bone DJ, this my favorite song So I'ma make it thunderstorm, flood warning, Flocka, yeah Blow it, fuck it, I don't care Jacksons flying everywhere Tap my partner Roscoe like, ""Bruh, I'm drunk as hell, can't you tell? Threw 70 bands, bet 50 stacks, oh fucking well I'm trying hit the hotel with two girls that'll swallow me Take this dick while I swallow Pink Moscato, got her freaky Hey, you got me in a trance, please take off your pants Pussy pop on a handstand, you got me sweating Please pass me a fan, damn [Chorus: Roscoe Dash] Girl, the way you're moving got me in a trance DJ, turn me up Ladies, this your jam I'ma sip Moscato and you gon' lose them pants Then I'ma throw this money while you do it with no hands Girl, drop it to the floor, I love the way your booty go All I wanna do is sit back and watch you move and I'll proceed to throw this cash [Verse 2: Wale] She said, ""Look, ma, no hands"" She said, ""Look, ma, no hands and no, darling, I don't dance"" And I'm with Roscoe, I'm with Waka, I think I deserve a chance I'm a bad motherfucker, go and ask some motherfuckers A young handsome motherfucker, I sling that wood, I just Nunchuck them Who you with, and what's your name? And you not hip, boo, I'm Wale And that D.C. shit, I rep all day And my eyes red 'cause of all that haze Don't blow my high, let me shine Drumma on the beat, let me take my time Niggas want beef, we can take it outside Fight for what broad? These hoes ain't mine Is you out your mind? You out your league I sweat no bitches, just sweat out weaves Wear out tracks, let me do my thing I got 16 for this Roscoe thing But I'm almost done, let me get back to it Whole lot of loud and a little Backwood Whole lot of money, big tip, I would I put her on the train, little engine could, bitch [Chorus: Roscoe Dash] Girl, the way you're moving got me in a trance DJ, turn me up Ladies, this your jam I'ma sip Moscato and you gon' lose them pants Then I'ma throw this money while you do it with no hands Girl, drop it to the floor, I love the way your booty go All I wanna do is sit back and watch you move and I'll proceed to throw this cash [Verse 3: Roscoe Dash] R-O-S-C-O-E, Mr. Shawty-Put-It-On-Me I be going ham, shawty upgrade from bologna Them niggas tipping good, girl, but I can make it flood 'Cause I walk around with pockets that are bigger than my bus Rain, rain, go away, that's what all my haters say My pockets stuck on overload, my rain never evaporates No need to elaborate, most of these ducks exaggerate But I'ma get money, nigga, everyday stunting, nigga Ducks might get a chance after me Bitch, I'm balling like I'm coming off of free throws Just ahead of the game, no cheat codes Lambo, Roscoe, no street code And your booty got me lost like Nemo Go, go, go, go, go on and do your dance And I'ma throw this money while you do it with no hands [Chorus: Roscoe Dash] Girl, the way you're moving got me in a trance DJ, turn me up Ladies, this your jam I'ma sip Moscato and you gon' lose them pants Then I'ma throw this money while you do it with no hands Girl, drop it to the floor, I love the way your booty go All I wanna do is sit back and watch you move and I'll proceed to throw this cash ",No Hands,52
2,Fetty Wap," [Intro] RGF productions Remy Boyz, yeaahhhh 1738 [Bridge] I'm like ""Hey, what's up? Hello"" Seen yo pretty ass soon as you came in the door I just wanna chill, got a sack for us to roll Married to the money, introduced her to my stove Showed her how to whip it, now she remixin' for low She my trap queen, let her hit the bando We be countin' up, watch how far them bands go We just set a goal, talkin' matchin' Lambos At 56 a gram, 5 a 100 grams though Man, I swear I love her, how she work the damn pole Hit the strip club, we be letting bands go Everybody hating, we just call them fans, though In love with the money, I ain't never lettin' go [Hook] And I get high with my baby I just left the mall, I'm gettin' fly with my baby, yeah And I can ride with my baby I be in the kitchen cookin' pies with my baby, yeah And I can ride with my baby I just left the mall, I'm gettin' fly with my baby, yeah And I can ride with my baby I be in the kitchen cookin' pies [Verse 1] I'm like, ""Hey, what's up? Hello"" I hit the strip with my trap queen, cause all we know is bands I just might snatch up a 'Rari and buy my boo a Lamb' I might just snatch her a necklace, drop a couple on a ring She ain't wantin' for nothin' because I got her everything It's big ZooWap from the bando, remind me where I can't go Remy Boyz got the stamp, though, count up hella them bands though Boy how far can your bands go? Fetty Wap, I'm livin' fifty thousand K how I stand though, if you checkin' for my pockets I'm like [Hook] And I get high with my baby I just left the mall, I'm gettin' fly with my baby, yeah And I can ride with my baby I be in the kitchen cookin' pies with my baby, yeah And I can ride with my baby I just left the mall, I'm gettin' fly with my baby, yeah And I can ride with my baby I be in the kitchen cookin' pies [Bridge] I'm like, ""Hey, what's up? Hello"" Seen yo pretty ass soon as you came in the door I just wanna chill, got a sack for us to roll Married to the money, introduced her to my stove Showed her how to whip it, now she remixin' for low She my trap queen, let her hit the bando We be countin' up, watch how far them bands go We just set a goal, talkin' matchin' Lambos At 56 a gram, 5 a 100 grams though Man, I swear I love her, how she work the damn pole Hit the strip club, we be letting bands go Everybody hating, we just call them fans, though In love with the money, I ain't never lettin' go [Verse 2] I be smokin' dope and you know Backwoods what I roll Remy Boyz, Fetty eating shit up, that's fasho I'll run in ya house, then I'll fuck your ho Cause Remy Boyz or nothin', Re-Re-Remy Boyz or nothin' [Outro: Nitt Da Gritt (Fetty Wap)] (She my trap queen) Yeah, you hear my boy (She my trap queen) Soundin' like a zillion bucks on the track (She my trap queen) I got whatever on my boy, whatever (And I get high with my baby) Put your money where your mouth is Money on the wood make the game go good Money out of sight cause fights Put up or shut up, huh? Nitt Da Gritt, RGF Productions (ZooWap) ",Trap Queen,44
3,Drake Featuring Lil Wayne," [Verse 1: Drake] I'm the fuckin' man, y'all don't get it, do ya? Type of money, everybody acting like they know ya Go Uptown, New York City, bitch Them Spanish girls love me like I'm Aventura Tell Uncle Luke I'm out in Miami, too Clubbing hard, fucking women, there ain't much to do Wrist bling, got a condo up in Biscayne Still getting brain from a thang, ain't shit changed How you feel how you feel how you feel? 25, sitting on 25 mill I'm in the building and I'm feeling myself Rest in peace, Mac Dre, I'm-a do it for the Bay Okay, getting paid, we'll holler whenever that stop My team good, we don't really need a mascot Tell Tune, ""Light one, pass it like a relay"" YMCMB, you niggas more YMCA Me, Franny, and Mally Mall at the crib-o Shout goes out to Niko, J and Chubbs, shouts to Gibbo We got Santa Margherita by the liter She know even if I'm fucking with her, I don't really need her That's how you feel, man? That's really how you feel? Cause the pimpin ice cold, all these bitches wanna chill I mean maybe she won't but then again maybe she will I can almost guarantee she know the deal, real nigga, what's up? [Hook: Drake] Now she want a photo, you already know, though You only live once: that's the motto, nigga, YOLO And we bout it every day, every day, every day Like we sittin on the bench, nigga, we don't really play Every day, every day, fuck what anybody say Can't see 'em cause the money in the way, real nigga, what's up? [Verse 2: Lil Wayne] One...time? Fuck one time I'm calling niggas out like the umpire Seven...grams in the blunt Almost drowned in her pussy so I swam to her butt It's Eastside, we in this bitch Wish a nigga would, like a tree in this bitch And if a leaf fall put some weed in that bitch That's my MO, add a B to that shit I'm fucked up, tore down I'm twisted: door knob Talk stupid? Off with your head! Nigga, money talks, and Mr. Ed I'm so Young Money Got a drum on the gun, Energizer bunny Funny how honey ain't sweet like sugar Ain't shit sweet? Niggas on the street like hookers I tongue kiss her other tongue Skeet skeet skeet: water gun Oh my God, Becky, look at her butt! Tunechi [Hook: Drake] Now she want a photo, you already know, though You only live once: that's the motto, nigga, YOLO And we bout it every day, every day, every day Like we sittin on the bench, nigga, we don't really play Every day, every day, fuck what anybody say Can't see 'em cause the money in the way, real nigga, what's up? Now she want a photo, you already know, though You only live once: that's the motto, nigga, YOLO And we bout it every day, every day, every day Like we sittin on the bench, nigga, we don't really play Every day, every day, fuck what anybody say Can't see 'em cause the money in the way, real nigga, what's up? [Produced by T-Minus] ",The Motto,42
4,Silento," [Intro] You already know who it is Silentó Silentó Silentó Go on an' do it for me [Hook] Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Watch me do it) Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Can you do it?) Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh [Verse 1] Do the stanky leg (stank) do the stanky leg (stank-stank) Do the stanky leg (stank) do the stanky leg (stank-stank) Do the stanky leg (stank) do the stanky leg (stank-stank) Do the stanky leg (stank) do the stanky leg (stank-stank) Now break your legs (break 'em) break your legs (brake the knob) Tell 'em ""break your legs"" (break 'em) break your legs (brake the knob) Gon' and break your legs (break 'em) break your legs (brake the knob) Gon' and break your legs (break 'em) break your legs (brake the knob) [Pre-Hook] Now watch me bop bop bop bop bop Bop bop bop bop bop Now watch me bop bop bop bop bop Bop bop bop bop bop [Hook] Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Watch me do it) Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Can you do it?) Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh [Verse 2] Now watch me you (Soulja!), now watch me Superman (okay) Now watch me you (Soulja!), now watch me Superman (okay) Now watch me you (Soulja!), now watch me Superman (okay) Now watch me you (Soulja!), now watch me Superman (okay) Now watch me duff, duff, duff, duff, duff Duff, duff, duff (Hold on) Now watch me duff, duff, duff, duff, duff Duff, duff, duff, duff [Pre-Hook] Now watch me bop bop bop bop bop Bop bop bop bop bop Now watch me bop bop bop bop bop Bop bop bop bop bop [Hook] Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Watch me do it) Now watch me whip (Kill it!) Now watch me nae nae (Okay!) Now watch me whip, whip Watch me nae nae (Can you do it?) Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh Now watch me, ooh watch me, watch me Ooh watch me, watch me Ooh watch me, watch me Ooh ooh ooh ooh ",Watch Me,41
5,Macklemore & Ryan Lewis Featuring Ray Dalton," [Verse 1: Macklemore] Return of the Mack Get 'em, what it is, what it does, what it is, what it isn't Looking for a better way to get up out of bed Instead of getting on the Internet And checking a new hit me, get up Thrift shop, pimp-strut walkin' Little bit of humble, little bit of cautious Somewhere between like Rocky and Cosby Sweater game, nope nope, y'all can't copy Yup, Bad, moonwalking, this here is our party My posse's been on Broadway, and we did it our way Grown music, I shed my skin and put my bones Into everything I record to it and yet I'm on Let that stage light go and shine on down Got that Bob Barker suit game and plinko in my style Money, stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me, on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin' Chasing dreams since I was fourteen With the four-track, bussin' Halfway cross that city with the backpack, fat cat, crushin' Labels out here, nah, they can't tell me nothin' We give that to the people, spread it across the country Labels out here, nah, they can't tell me nothin' We give it to the people, spread it across the country [Hook: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us [Verse 2: Macklemore] Now, can I kick it? Thank you Yeah, I'm so damn grateful I grew up really wanting gold fronts But that’s what you get when Wu-Tang raised you Y'all can't stop me Go hard like I got a 808 in my heartbeat And I'm eating at the beat like you gave a little speed To a great white shark on Shark Week, raw! Tell me go up, gone Deuces, goodbye, I got a world to see And my girl, she wanna see Rome Caesar'll make you a believer Nah, I never ever did it for a throne That validation comes from giving it back to the people Now sing a song, and it goes like Raise those hands, this is our party We came here to live life like nobody was watching I got my city right behind me, if I fall, they got me Learn from that failure, gain humility And then we keep marching, I said… [Hook: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us [Interlude] And so we put our hands up And so we put our hands up Oh, oh, oh, oh… [Bridge: Macklemore and Ray Dalton] Na na na na, na na na na Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey And all my people say Na na na na, na na na na Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey And all my people say Na na na na, na na na na Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh And all my people say Na na na na, na na na na Mack-le-eh-eh-eh-eh-more! [Hook: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us [Outro *Music Video Ending*] Let the night come, before the fight's won Some might run against the test But those that triumph embrace the fight 'cause The fear is there to prove that courage exists Now let the night come, before the fight's won And some might run against the test But those that triumph embrace the fight 'cause The fear is there to prove that courage exists ",Can't Hold Us,41
6,"Kanye West, Big Sean, Pusha T, 2 Chainz", Instrumental ,Mercy,40
7,Kirko Bangz," [Produced by Sound M.O.B.] [Verse 1] I done came down, hold up Grip the grain, roll up And your girlfriend want a nigga like me Cause I ain't tryin' to control her She call me when she wants a change Black diamond, my pinky ring And she know you weak and we ain't the same You hit the scene, I make the scene I'm in her head like Maybelline H-Town so I'm made for lean I'm in her soul, I make her scream I don't ride the toll, don't pay the change I'm EZ tag like Peter Pan She want a man, don't need a man I'm flying down your boulevard She cookin' dinner with your pans Draped up, dripped out Your bitch know what I'm taking 'bout Pulls up, pull out We get it poppin' in the parking lot She like to do it with the lights on Don't matter to me if it's dark or not I'm G'd up, East up Fossil pants, I'm hard as rock [Hook] Girl I know how much you really want somebody Want somebody that don't really need you Girl I know how much you really want somebody Want somebody that ain't trying to keep You heard what I said, that could put you to bed That ain't tryin' to love you baby, just fuck you instead And don't tell 'em nothing baby, you know that I'm comin' baby Just hit up my phone whenever you need you some company Got this drank in my cup, oh yeah I got this drank in my cup I got this drank in my cup, cup, cup [Verse 2] I done came down, came up Slow pitch, change up Same hood, same style, same drink, same cup She call me when she wanna fuck I never call, she knows what's up Same page, same book, different song, same hook Everytime her nigga trippin', she on the phone with the same crook And everytime I pull up, she hit me with that same look Lips bitin', hips right She left her man for that get right I'm in the middle, like midnight Only if you got that sit tight Only if you got that wine fine Only if you got that sip type Only if you got that mind bomb Only if you got that zip tight Eat that shit like wonton Jokin' baby, I'm pimp tight I'm used to bein' that one and done But girl you got that g-get right [Hook] [Girl I know how much you really want somebody Want somebody that don't really need you Girl I know how much you really want somebody Want somebody that ain't trying to keep You heard what I said, that could put you to bed That ain't tryin' to love you baby, just fuck you instead And don't tell 'em nothing baby, you know that I'm comin' baby] [Just hit up my phone whenever you need you some company] [Got this drank in my cup, oh yeah I got this drank in my cup I got this drank in my cup, cup, cup] [Outro] H-Town, oh yeah, I got this drank in my cup I got this drank in my cup I came down, hold up, hold up, I said hold up Hold up, I done came down like hold up Hold up, hold up, fuck, 'chea ",Drank In My Cup,39
8,Pitbull Featuring Ke$ha," [Hook: Ke$ha] It's going down, I'm yelling timber You better move, you better dance Let's make a night you won't remember I'll be the one you won't forget [Verse 1: Pitbull] The bigger they are, the harder they fall This biggity boy's a diggity dog I have ‘em like Miley Cyrus, clothes off Twerking in their bras and thongs, timber Face down, booty up, timber That's the way we like the what, timber I'm slicker than an oil spill She say she won't, but I bet she will, timber [Bridge: Pitbull] Swing your partner round and round End of the night, it's going down One more shot, another round End of the night, it's going down Swing your partner round and round End of the night, it's going down One more shot, another round End of the night, it's going down [Hook: Ke$ha] It's going down, I'm yelling timber You better move, you better dance Let's make a night you won't remember I'll be the one you won't forget It's going down, I'm yelling timber You better move, you better dance Let's make a night you won't remember I'll be the one you won't forget (You won't forget) [Verse 2: Pitbull] Look up in the sky, it's a bird, it's a plane Nah, it's just me, ain't a damn thing changed Live in hotels, swing on planes Blessed to say, money ain't a thing Club jumping like Lebron, now Voli Order me another round, homie We about to climb, why, ‘cause it's about to go down [Bridge: Pitbull] Swing your partner round and round End of the night, it's going down One more shot, another round End of the night, it's going down Swing your partner round and round End of the night, it's going down One more shot, another round End of the night, it's going down [Hook: Ke$ha] It's going down, I'm yelling timber You better move, you better dance Let's make a night you won't remember I'll be the one you won't forget It's going down, I'm yelling timber You better move, you better dance Let's make a night you won't remember I'll be the one you won't forget (You won't forget) ",Timber,39
9,Pitbull & Ne-Yo," [Pre-Chorus: Ne-Yo] I know my rent was gon' be late bout a week ago I worked my ass off, but I still can't pay it though But I got just enough To get off in this club Have me a good time, before my time is up Hey, let's get it now [Chorus: Ne-Yo] Oooh!! I want the time of my life Oh baby ooh give me the time of my life Let's get it now [Verse 1: Pitbull] Mr. Worldwide Ne-yo This is the last $20 I got But I'mma have a good time ballin' or out Tell the bartender, line up some shots Cause I'mma get loose tonight She's on fire, she's so hot I'm no liar, she burn up the spot Look like Mariah, I took another shot Told her drop, drop, drop, drop it like it's hot Dirty talk, dirty dance She a freaky girl and I'm a freaky man She on the rebound, broke up with her ex And I'm like Rodman, ready on deck I told her I wanna ride out, and she said yes We didn't go to church, but I got blessed [Pre-Chorus: Ne-Yo] I know my rent was gon' be late bout a week ago I worked my ass off, but I still can't pay it though But I got just enough To get off in this club Have me a good time, before my time is up Hey, let's get it now [Chorus: Ne-Yo] Oooh!! I want the time of my life Oh baby ooh give me the time of my life Let's get it now [Verse 2: Pitbull] Tonight I'mma lose my mind Better get yours cause I'm gonna get mine Party every night, like my last Mami know the drill, shake that ass Go ahead baby let me see what you got You know you got the biggest booty in this spot And I just wanna see that thing drawwwwp From the back to the front to the top You know me I'm off in the cut Always like a squirrel, looking for a nut This isn't for show I'm not talking 'bout luck I'm not talking 'bout love, I'm talking 'bout lust Now let's get loose, have some fun Forget about bills and the first of the month It's my night, your night, our night, let's turn it up [Pre-Chorus: Ne-Yo] I know my rent was gon' be late bout a week ago I worked my ass off, but I still can't pay it though But I got just enough To get off in this club Have me a good time, before my time is up Hey, let's get it now [Chorus: Ne-Yo] Oooh!! I want the time of my life Oh baby ooh give me the time of my life Let's get it now [Bridge: Ne-Yo] Everybody’s gone through something (Everybody’s gone through something) I said, everybody’s gone through something (Everybody’s gone through something) So you might as well you roll it up Pour it up, drink it up, throw it up tonight I said, everybody gone through something (Everybody’s gone through something) Said, everybody gone through something (Everybody’s gone through something) So you might as well you roll it up Pour it up, drink it up, throw it up tonight [Break: Pitbull] This for everybody going through tough times Believe me, been there, done that But every day above ground is a great day, remember that—Dale! [Pre-Chorus: Ne-Yo] I know my rent was gon' be late bout a week ago I worked my ass off, but I still can't pay it though But I got just enough To get off in this club Have me a good time, before my time is up Hey, let's get it now [Chorus: Ne-Yo] Oooh!! I want the time of my life Oh baby ooh give me the time of my life Let's get it now ",Time Of Our Lives,36
