,artist,rank,title,week
0,The D.O.C.,1,The D.O.C. & The Doctor,6--
1,Sir Mix-A-Lot,2,Beepers,6--
2,Wreckx-N-Effect,3,New Jack Swing,6--
3,The 2 Live Crew,4,Me So Horny,6--
4,Heavy D & The Boyz,5,Somebody For Me,6--
5,3rd Bass,6,Steppin' Into The A.M.,6--
6,Awesome Dre & The Hard Core Committee,7,Frankly Speaking,6--
7,Donald-D,8,F.B.I.,6--
8,Arabian Prince,9,She's Got A Big Posse,6--
9,Rob Base,10,Turn It Out,6--
10,MC Lyte,11,Cha Cha Cha,6--
11,Salt-N-Pepa,12,Expression,6--
12,Young M.C.,13,Principal's Office,6--
13,Biz Markie,14,Just A Friend,6--
14,Gucci Crew II,15,Five Dollar High,6--
15,Redhead Kingpin & The F.B.I.,16,Pump It Hottie,6--
16,The Young And The Restless,17,Poison Ivy,6--
17,De La Soul,18,Buddy,6--
18,Steady B,19,Going Steady,6--
19,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide),6--
20,Young M.C.,21,Bust A Move,6--
21,Black Rock 'N' Ron,22,True Feelings,6--
22,Big Daddy Kane,23,I Get The Job Done,6--
23,Wreckx-N-Effect,24,Juicy,6--
24,Chubb Rock,25,Stop That Train,6--
25,The D.O.C.,1,The D.O.C. & The Doctor,3--
26,Sir Mix-A-Lot,2,Beepers,3--
27,Salt-N-Pepa,3,Expression,3--
28,Rob Base,4,Turn It Out,3--
29,Wreckx-N-Effect,5,New Jack Swing,3--
30,The 2 Live Crew,6,Me So Horny,3--
31,Awesome Dre & The Hard Core Committee,7,Frankly Speaking,3--
32,De La Soul,8,Buddy,3--
33,Heavy D & The Boyz,9,Somebody For Me,3--
34,Redhead Kingpin & The F.B.I.,10,Pump It Hottie,3--
35,MC Lyte,11,Cha Cha Cha,3--
36,Arabian Prince,12,She's Got A Big Posse,3--
37,3rd Bass,13,Steppin' Into The A.M.,3--
38,Biz Markie,14,Just A Friend,3--
39,Young M.C.,15,Principal's Office,3--
40,Big Daddy Kane,16,I Get The Job Done,3--
41,The Young And The Restless,17,Poison Ivy,3--
42,Donald-D,18,F.B.I.,3--
43,Wreckx-N-Effect,19,Juicy,3--
44,Steady B,20,Going Steady,3--
45,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide),3--
46,Gucci Crew II,22,Five Dollar High,3--
47,Serious-Lee-Fine,23,Nothing Can Stop Us,3--
48,Chubb Rock,24,Stop That Train,3--
49,Young M.C.,25,Bust A Move,3--
50,Salt-N-Pepa,1,Expression,0--
51,Sir Mix-A-Lot,2,Beepers,0--
52,De La Soul,3,Buddy,0--
53,Rob Base,4,Turn It Out,0--
54,The D.O.C.,5,The D.O.C. & The Doctor,0--
55,Redhead Kingpin & The F.B.I.,6,Pump It Hottie,0--
