,artist,rank,title
0,The D.O.C.,1,The D.O.C. & The Doctor
1,Sir Mix-A-Lot,2,Beepers
2,Wreckx-N-Effect,3,New Jack Swing
3,The 2 Live Crew,4,Me So Horny
4,Heavy D & The Boyz,5,Somebody For Me
5,3rd Bass,6,Steppin' Into The A.M.
6,Awesome Dre & The Hard Core Committee,7,Frankly Speaking
7,Donald-D,8,F.B.I.
8,Arabian Prince,9,She's Got A Big Posse
9,Rob Base,10,Turn It Out
10,MC Lyte,11,Cha Cha Cha
11,Salt-N-Pepa,12,Expression
12,Young M.C.,13,Principal's Office
13,Biz Markie,14,Just A Friend
14,Gucci Crew II,15,Five Dollar High
15,Redhead Kingpin & The F.B.I.,16,Pump It Hottie
16,The Young And The Restless,17,Poison Ivy
17,De La Soul,18,Buddy
18,Steady B,19,Going Steady
19,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide)
20,Young M.C.,21,Bust A Move
21,Black Rock 'N' Ron,22,True Feelings
22,Big Daddy Kane,23,I Get The Job Done
23,Wreckx-N-Effect,24,Juicy
24,Chubb Rock,25,Stop That Train
25,The D.O.C.,1,The D.O.C. & The Doctor
26,Sir Mix-A-Lot,2,Beepers
27,Salt-N-Pepa,3,Expression
28,Rob Base,4,Turn It Out
29,Wreckx-N-Effect,5,New Jack Swing
30,The 2 Live Crew,6,Me So Horny
31,Awesome Dre & The Hard Core Committee,7,Frankly Speaking
32,De La Soul,8,Buddy
33,Heavy D & The Boyz,9,Somebody For Me
34,Redhead Kingpin & The F.B.I.,10,Pump It Hottie
35,MC Lyte,11,Cha Cha Cha
36,Arabian Prince,12,She's Got A Big Posse
37,3rd Bass,13,Steppin' Into The A.M.
38,Biz Markie,14,Just A Friend
39,Young M.C.,15,Principal's Office
40,Big Daddy Kane,16,I Get The Job Done
41,The Young And The Restless,17,Poison Ivy
42,Donald-D,18,F.B.I.
43,Wreckx-N-Effect,19,Juicy
44,Steady B,20,Going Steady
45,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide)
46,Gucci Crew II,22,Five Dollar High
47,Serious-Lee-Fine,23,Nothing Can Stop Us
48,Chubb Rock,24,Stop That Train
49,Young M.C.,25,Bust A Move
50,Salt-N-Pepa,1,Expression
51,Sir Mix-A-Lot,2,Beepers
52,De La Soul,3,Buddy
53,Rob Base,4,Turn It Out
54,The D.O.C.,5,The D.O.C. & The Doctor
55,Redhead Kingpin & The F.B.I.,6,Pump It Hottie
56,The 2 Live Crew,7,Me So Horny
57,Wreckx-N-Effect,8,New Jack Swing
58,Young M.C.,9,Principal's Office
59,Awesome Dre & The Hard Core Committee,10,Frankly Speaking
60,The Young And The Restless,11,Poison Ivy
61,Big Daddy Kane,12,I Get The Job Done
62,MC Lyte,13,Cha Cha Cha
63,Heavy D & The Boyz,14,Somebody For Me
64,Wreckx-N-Effect,15,Juicy
65,Biz Markie,16,Just A Friend
66,3rd Bass,17,Steppin' Into The A.M.
67,Arabian Prince,18,She's Got A Big Posse
68,Donald-D,19,F.B.I.
69,Steady B,20,Going Steady
70,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide)
71,Public Enemy,22,Welcome To The Terrordome
72,Serious-Lee-Fine,23,Nothing Can Stop Us
73,Queen Latifah Featuring Monie Love,24,Ladies First
74,Chubb Rock,25,Stop That Train
75,Salt-N-Pepa,1,Expression
76,De La Soul,2,Buddy
77,Sir Mix-A-Lot,3,Beepers
78,Rob Base,4,Turn It Out
79,Redhead Kingpin & The F.B.I.,5,Pump It Hottie
80,Public Enemy,6,Welcome To The Terrordome
81,The D.O.C.,7,The D.O.C. & The Doctor
82,Wreckx-N-Effect,8,Juicy
83,The 2 Live Crew,9,Me So Horny
84,Big Daddy Kane,10,I Get The Job Done
85,Queen Latifah Featuring Monie Love,11,Ladies First
86,Wreckx-N-Effect,12,New Jack Swing
87,The Young And The Restless,13,Poison Ivy
88,Serious-Lee-Fine,14,Nothing Can Stop Us
89,Young M.C.,15,Principal's Office
90,Steady B,16,Going Steady
91,Heavy D & The Boyz,17,Somebody For Me
92,Awesome Dre & The Hard Core Committee,18,Frankly Speaking
93,Arabian Prince,19,She's Got A Big Posse
94,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide)
95,Biz Markie,21,Just A Friend
96,MC Lyte,22,Cha Cha Cha
97,Chubb Rock,23,Stop That Train
98,Donald-D,24,F.B.I.
99,3rd Bass,25,Steppin' Into The A.M.
100,Salt-N-Pepa,1,Expression
101,De La Soul,2,Buddy
102,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
103,Public Enemy,4,Welcome To The Terrordome
104,Sir Mix-A-Lot,5,Beepers
105,Rob Base,6,Turn It Out
106,Wreckx-N-Effect,7,Juicy
107,Queen Latifah Featuring Monie Love,8,Ladies First
108,Big Daddy Kane,9,I Get The Job Done
109,The Young And The Restless,10,Poison Ivy
110,Young M.C.,11,Principal's Office
111,Serious-Lee-Fine,12,Nothing Can Stop Us
112,The 2 Live Crew,13,Me So Horny
113,The D.O.C.,14,The D.O.C. & The Doctor
114,3rd Bass,15,The Gas Face
115,Wreckx-N-Effect,16,New Jack Swing
116,Steady B,17,Going Steady
117,Digital Underground,18,The Humpty Dance
118,Grandmaster Slice & Izzy Chill,19,Shall We Dance (Electric Slide)
119,Biz Markie,20,Just A Friend
120,MC Lyte,21,Cha Cha Cha
121,Mr. Lee,22,Get Busy
122,Rodney O & Joe Cooley,23,Say It Loud
123,T-Ski,24,Pump That Beat
124,Divine Styler Feat. The Scheme Team,25,Ain't Sayin' Nothin'
125,Salt-N-Pepa,1,Expression
126,De La Soul,2,Buddy
127,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
128,Public Enemy,4,Welcome To The Terrordome
129,Rob Base,5,Turn It Out
130,Wreckx-N-Effect,6,Juicy
131,Sir Mix-A-Lot,7,Beepers
132,Queen Latifah Featuring Monie Love,8,Ladies First
133,Serious-Lee-Fine,9,Nothing Can Stop Us
134,Big Daddy Kane,10,I Get The Job Done
135,The Young And The Restless,11,Poison Ivy
136,3rd Bass,12,The Gas Face
137,Digital Underground,13,The Humpty Dance
138,Heavy D & The Boyz,14,"Gyrlz, They Love Me"
139,The 2 Live Crew,15,Me So Horny
140,Steady B,16,Going Steady
141,Grandmaster Slice & Izzy Chill,17,Shall We Dance (Electric Slide)
142,The D.O.C.,18,The D.O.C. & The Doctor
143,Wreckx-N-Effect,19,New Jack Swing
144,Divine Styler Feat. The Scheme Team,20,Ain't Sayin' Nothin'
145,Young M.C.,21,Principal's Office
146,T-Ski,22,Pump That Beat
147,Biz Markie,23,Just A Friend
148,Rodney O & Joe Cooley,24,Say It Loud
149,Mr. Lee,25,Get Busy
150,Salt-N-Pepa,1,Expression
151,De La Soul,2,Buddy
152,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
153,Public Enemy,4,Welcome To The Terrordome
154,Queen Latifah Featuring Monie Love,5,Ladies First
155,Wreckx-N-Effect,6,Juicy
156,Digital Underground,7,The Humpty Dance
157,3rd Bass,8,The Gas Face
158,The Young And The Restless,9,Poison Ivy
159,Sir Mix-A-Lot,10,Beepers
160,Rob Base,11,Turn It Out
161,Serious-Lee-Fine,12,Nothing Can Stop Us
162,The 2 Live Crew,13,C'mon Babe
163,Heavy D & The Boyz,14,"Gyrlz, They Love Me"
164,Big Daddy Kane,15,I Get The Job Done
